Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,70,16:28:12,1:07.694,229.633
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,68,16:24:27,1:07.719,229.548
3,4,Lando NorrisNOR,McLaren Mercedes,53,16:05:58,1:08.016,228.546
4,81,Oscar PiastriPIA,McLaren Mercedes,56,16:09:45,1:08.697,226.280
5,63,George RussellRUS,Mercedes,48,16:00:20,1:09.164,224.752
6,55,Carlos SainzSAI,Ferrari,56,16:09:41,1:09.282,224.369
7,44,Lewis HamiltonHAM,Mercedes,61,16:15:51,1:09.562,223.466
8,16,Charles LeclercLEC,Ferrari,55,16:09:32,1:09.584,223.396
9,10,Pierre GaslyGAS,Alpine Renault,45,15:57:30,1:09.609,223.315
10,31,Esteban OconOCO,Alpine Renault,45,15:57:32,1:09.649,223.187
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,56,16:10:20,1:09.694,223.043
12,20,Kevin MagnussenMAG,Haas Ferrari,45,15:57:22,1:10.125,221.672
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,54,16:08:14,1:10.143,221.615
14,27,Nico HulkenbergHUL,Haas Ferrari,51,16:04:25,1:10.215,221.388
15,22,Yuki TsunodaTSU,RB Honda RBPT,54,16:08:20,1:10.318,221.064
16,23,Alexander AlbonALB,Williams Mercedes,41,15:52:53,1:10.364,220.919
17,2,Logan SargeantSAR,Williams Mercedes,60,16:16:27,1:10.406,220.788
18,3,Daniel RicciardoRIC,RB Honda RBPT,49,16:02:08,1:10.426,220.725
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,48,16:01:17,1:10.449,220.653
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,54,16:08:56,1:10.470,220.587
