Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:34.742,1:33.794,1:33.660,18
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:35.457,1:34.026,1:33.982,19
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:35.116,1:34.652,1:34.148,15
4,4,Lando NorrisNOR,McLaren Mercedes,1:34.842,1:34.460,1:34.165,15
5,81,Oscar PiastriPIA,McLaren Mercedes,1:35.014,1:34.659,1:34.273,16
6,16,Charles LeclercLEC,Ferrari,1:34.797,1:34.399,1:34.289,20
7,55,Carlos SainzSAI,Ferrari,1:34.970,1:34.368,1:34.297,17
8,63,George RussellRUS,Mercedes,1:35.084,1:34.609,1:34.433,20
9,27,Nico HulkenbergHUL,Haas Ferrari,1:35.068,1:34.667,1:34.604,21
10,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:35.169,1:34.769,1:34.665,15
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:35.334,1:34.838,,12
12,3,Daniel RicciardoRIC,RB Honda RBPT,1:35.443,1:34.934,,12
13,31,Esteban OconOCO,Alpine Renault,1:35.356,1:35.223,,15
14,23,Alexander AlbonALB,Williams Mercedes,1:35.384,1:35.241,,14
15,10,Pierre GaslyGAS,Alpine Renault,1:35.287,1:35.463,,15
16,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:35.505,,,8
17,20,Kevin MagnussenMAG,Haas Ferrari,1:35.516,,,6
18,44,Lewis HamiltonHAM,Mercedes,1:35.573,,,6
19,22,Yuki TsunodaTSU,RB Honda RBPT,1:35.746,,,9
20,2,Logan SargeantSAR,Williams Mercedes,1:36.358,,,7
