Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.171,1:28.033,1:27.472,18
2,16,Charles LeclercLEC,Ferrari,1:28.318,1:28.112,1:27.791,23
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.638,1:28.467,1:27.807,19
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.706,1:28.122,1:27.846,17
5,81,Oscar PiastriPIA,McLaren Mercedes,1:28.755,1:28.343,1:28.089,22
6,4,Lando NorrisNOR,McLaren Mercedes,1:28.805,1:28.479,1:28.132,22
7,63,George RussellRUS,Mercedes,1:28.749,1:28.448,1:28.316,22
8,44,Lewis HamiltonHAM,Mercedes,1:28.994,1:28.606,1:28.460,24
9,22,Yuki TsunodaTSU,RB Honda RBPT,1:28.988,1:28.564,1:28.547,18
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.250,1:28.578,1:28.572,19
11,38,Oliver BearmanBEA,Ferrari,1:28.984,1:28.642,,18
12,23,Alexander AlbonALB,Williams Mercedes,1:29.107,1:28.980,,16
13,20,Kevin MagnussenMAG,Haas Ferrari,1:29.069,1:29.020,,17
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:29.065,1:29.025,,12
15,27,Nico HulkenbergHUL,Haas Ferrari,1:29.055,DNF,,10
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:29.179,,,9
17,31,Esteban OconOCO,Alpine Renault,1:29.475,,,10
18,10,Pierre GaslyGAS,Alpine Renault,1:29.479,,,9
19,2,Logan SargeantSAR,Williams Mercedes,1:29.526,,,9
NC,24,Zhou GuanyuZHO,Kick Sauber Ferrari,DNF,,,2
