Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,63,George RussellRUS,Mercedes,1:13.013,1:11.742,1:12.000,26
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:12.360,1:12.549,1:12.000,27
3,4,Lando NorrisNOR,McLaren Mercedes,1:12.959,1:12.201,1:12.021,25
4,81,Oscar PiastriPIA,McLaren Mercedes,1:12.907,1:12.462,1:12.103,29
5,3,Daniel RicciardoRIC,RB Honda RBPT,1:13.240,1:12.572,1:12.178,25
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:13.117,1:12.635,1:12.228,23
7,44,Lewis HamiltonHAM,Mercedes,1:12.851,1:11.979,1:12.280,26
8,22,Yuki TsunodaTSU,RB Honda RBPT,1:12.748,1:12.303,1:12.414,24
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:13.088,1:12.659,1:12.701,25
10,23,Alexander AlbonALB,Williams Mercedes,1:12.896,1:12.485,1:12.796,26
11,16,Charles LeclercLEC,Ferrari,1:13.107,1:12.691,,21
12,55,Carlos SainzSAI,Ferrari,1:13.038,1:12.728,,22
13,2,Logan SargeantSAR,Williams Mercedes,1:13.063,1:12.736,,22
14,20,Kevin MagnussenMAG,Haas Ferrari,1:13.217,1:12.916,,16
15,10,Pierre GaslyGAS,Alpine Renault,1:13.289,1:12.940,,18
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:13.326,,,11
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:13.366,,,10
18,31,Esteban OconOCO,Alpine Renault,1:13.435,,,11
19,27,Nico HulkenbergHUL,Haas Ferrari,1:13.978,,,10
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:14.292,,,11
