Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,19,31:31.383,8
2,16,Charles LeclercLEC,Ferrari,19,+3.371s,7
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,19,+5.095s,6
4,3,Daniel RicciardoRIC,RB Honda RBPT,19,+14.971s,5
5,55,Carlos SainzSAI,Ferrari,19,+15.222s,4
6,81,Oscar PiastriPIA,McLaren Mercedes,19,+15.750s,3
7,27,Nico HulkenbergHUL,Haas Ferrari,19,+22.054s,2
8,22,Yuki TsunodaTSU,RB Honda RBPT,19,+29.816s,1
9,10,Pierre GaslyGAS,Alpine Renault,19,+31.880s,0
10,2,Logan SargeantSAR,Williams Mercedes,19,+34.355s,0
11,24,Zhou GuanyuZHO,Kick Sauber Ferrari,19,+35.078s,0
12,63,George RussellRUS,Mercedes,19,+35.755s,0
13,23,Alexander AlbonALB,Williams Mercedes,19,+36.086s,0
14,77,Valtteri BottasBOT,Kick Sauber Ferrari,19,+36.892s,0
15,31,Esteban OconOCO,Alpine Renault,19,+37.740s,0
16,44,Lewis HamiltonHAM,Mercedes,19,+49.347s,0
17,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,19,+59.409s,0
18,20,Kevin MagnussenMAG,Haas Ferrari,19,+66.303s,0
NC,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1,DNF,0
NC,4,Lando NorrisNOR,McLaren Mercedes,0,DNF,0
