Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,23,26:41.389,8
2,81,Oscar PiastriPIA,McLaren Mercedes,23,+4.616s,7
3,4,Lando NorrisNOR,McLaren Mercedes,23,+5.348s,6
4,63,George RussellRUS,Mercedes,23,+8.354s,5
5,55,Carlos SainzSAI,Ferrari,23,+9.989s,4
6,44,Lewis HamiltonHAM,Mercedes,23,+11.207s,3
7,16,Charles LeclercLEC,Ferrari,23,+13.424s,2
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,23,+17.409s,1
9,20,Kevin MagnussenMAG,Haas Ferrari,23,+24.067s,0
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,23,+30.175s,0
11,31,Esteban OconOCO,Alpine Renault,23,+30.839s,0
12,10,Pierre GaslyGAS,Alpine Renault,23,+31.308s,0
13,22,Yuki TsunodaTSU,RB Honda RBPT,23,+35.452s,0
14,3,Daniel RicciardoRIC,RB Honda RBPT,23,+39.397s,0
15,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,23,+43.155s,0
16,2,Logan SargeantSAR,Williams Mercedes,23,+44.076s,0
17,23,Alexander AlbonALB,Williams Mercedes,23,+44.673s,0
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,23,+46.511s,0
19,27,Nico HulkenbergHUL,Haas Ferrari,23,+48.423s,0
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,23,+53.143s,0
