Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,50,1:20:43.273,25
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,+13.643s,18
3,16,Charles LeclercLEC,Ferrari,50,+18.639s,16
4,81,Oscar PiastriPIA,McLaren Mercedes,50,+32.007s,12
5,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,50,+35.759s,10
6,63,George RussellRUS,Mercedes,50,+39.936s,8
7,38,Oliver BearmanBEA,Ferrari,50,+42.679s,6
8,4,Lando NorrisNOR,McLaren Mercedes,50,+45.708s,4
9,44,Lewis HamiltonHAM,Mercedes,50,+47.391s,2
10,27,Nico HulkenbergHUL,Haas Ferrari,50,+76.996s,1
11,23,Alexander AlbonALB,Williams Mercedes,50,+88.354s,0
12,20,Kevin MagnussenMAG,Haas Ferrari,50,+105.737s,0
13,31,Esteban OconOCO,Alpine Renault,49,+1 lap,0
14,2,Logan SargeantSAR,Williams Mercedes,49,+1 lap,0
15,22,Yuki TsunodaTSU,RB Honda RBPT,49,+1 lap,0
16,3,Daniel RicciardoRIC,RB Honda RBPT,49,+1 lap,0
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,49,+1 lap,0
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,49,+1 lap,0
NC,18,Lance StrollSTR,Aston Martin Aramco Mercedes,5,DNF,0
NC,10,Pierre GaslyGAS,Alpine Renault,1,DNF,0
