Pos,No,Driver,Car,Laps,Time/retired,Pts
1,4,Lando NorrisNOR,McLaren Mercedes,57,1:30:49.876,25
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,57,+7.612s,18
3,16,Charles LeclercLEC,Ferrari,57,+9.920s,15
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,57,+14.650s,12
5,55,Carlos SainzSAI,Ferrari,57,+16.407s,10
6,44,Lewis HamiltonHAM,Mercedes,57,+16.585s,8
7,22,Yuki TsunodaTSU,RB Honda RBPT,57,+26.185s,6
8,63,George RussellRUS,Mercedes,57,+34.789s,4
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,+37.107s,2
10,31,Esteban OconOCO,Alpine Renault,57,+39.746s,1
11,27,Nico HulkenbergHUL,Haas Ferrari,57,+40.789s,0
12,10,Pierre GaslyGAS,Alpine Renault,57,+44.958s,0
13,81,Oscar PiastriPIA,McLaren Mercedes,57,+49.756s,0
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,57,+49.979s,0
15,3,Daniel RicciardoRIC,RB Honda RBPT,57,+50.956s,0
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,57,+52.356s,0
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,+55.173s,0
18,23,Alexander AlbonALB,Williams Mercedes,57,+76.091s,0
19,20,Kevin MagnussenMAG,Haas Ferrari,57,+84.683s,0
NC,2,Logan SargeantSAR,Williams Mercedes,27,DNF,0
