Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.194,1:28.001,1:27.641,12
2,16,Charles LeclercLEC,Ferrari,1:28.537,1:27.977,1:27.749,17
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.681,1:27.865,1:27.876,11
4,3,Daniel RicciardoRIC,RB Honda RBPT,1:28.700,1:28.122,1:28.044,14
5,55,Carlos SainzSAI,Ferrari,1:28.435,1:28.262,1:28.103,16
6,81,Oscar PiastriPIA,McLaren Mercedes,1:28.056,1:28.163,1:28.161,16
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.807,1:28.323,1:28.375,15
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:28.192,1:28.189,1:28.419,14
9,4,Lando NorrisNOR,McLaren Mercedes,1:27.939,1:27.597,1:28.472,12
10,27,Nico HulkenbergHUL,Haas Ferrari,1:29.040,1:28.330,1:28.476,15
11,63,George RussellRUS,Mercedes,1:28.387,1:28.343,,12
12,44,Lewis HamiltonHAM,Mercedes,1:28.736,1:28.371,,12
13,31,Esteban OconOCO,Alpine Renault,1:28.873,1:28.379,,12
14,20,Kevin MagnussenMAG,Haas Ferrari,1:28.377,1:28.614,,12
15,22,Yuki TsunodaTSU,RB Honda RBPT,1:28.687,DNF,,9
16,10,Pierre GaslyGAS,Alpine Renault,1:29.185,,,6
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:29.267,,,6
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:29.360,,,7
19,2,Logan SargeantSAR,Williams Mercedes,1:29.551,,,6
20,23,Alexander AlbonALB,Williams Mercedes,1:29.858,,,6
