Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:05.690,1:05.186,1:04.686,11
2,4,Lando NorrisNOR,McLaren Mercedes,1:05.786,1:05.561,1:04.779,13
3,81,Oscar PiastriPIA,McLaren Mercedes,1:06.081,1:05.379,1:04.987,14
4,63,George RussellRUS,Mercedes,1:05.764,1:05.325,1:05.054,9
5,55,Carlos SainzSAI,Ferrari,1:05.781,1:05.435,1:05.126,12
6,44,Lewis HamiltonHAM,Mercedes,1:06.504,1:05.539,1:05.270,13
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:06.256,1:05.612,1:06.008,14
8,31,Esteban OconOCO,Alpine Renault,1:06.343,1:05.686,1:06.101,12
9,10,Pierre GaslyGAS,Alpine Renault,1:06.465,1:05.757,1:06.624,12
10,16,Charles LeclercLEC,Ferrari,1:06.149,1:05.526,DNF,12
11,20,Kevin MagnussenMAG,Haas Ferrari,1:06.387,1:05.806,,8
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:06.037,1:05.847,,8
13,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:06.487,1:05.878,,9
14,22,Yuki TsunodaTSU,RB Honda RBPT,1:06.557,1:05.960,,9
15,2,Logan SargeantSAR,Williams Mercedes,1:06.518,DNF,,9
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:06.581,,,6
17,27,Nico HulkenbergHUL,Haas Ferrari,1:06.583,,,6
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:06.725,,,6
19,23,Alexander AlbonALB,Williams Mercedes,1:06.754,,,6
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:07.197,,,6
